text,label,language
Ulwazi oluvela kudokotela Ngubane noBhili luphambana kanjani nolwazi olunikezwe nguLwazi mayelana nokukhulelwa kwakhe Chaza ?,0,isiZulu
Lokhu okufinqiwe kuchaza izimpilo zo Laureates sinike indikimba ngokufaka isandla emphakathini .,0,isiZulu
Isifundo sikaProf Mthembu lwabonisa amagama ababhali ngenyanga edlule ngaphansi kukaHulumeni omusha.,1,isiZulu
uziphendulele kokushiwo umalema,0,isiZulu
Uthisha waseNanda waklame ihhashi kanye ne-ibhayisikili endlini yaseLusikisiki ngokuhambisana nezindinganiso eholidini eledlule.,1,isiZulu
Ross : Uphi ukaputeni King Kufanele ngabe usebuyile manje ?,0,isiZulu
Amanani afaka i-VAT .,0,isiZulu
UMasipala wase-Lusikisiki umemezele izinsiza zabantu ngeSonto ekuseni.,1,isiZulu
Uhlelo lwaseKlipfontein e Kapa seluqalile nalo kanye nesitimela esihamba ngesivinini phakathi kweGoli naseTshwane kanye neminye imizila exhumana nayo .,0,isiZulu
Uhlelo lwezokuxhumana kuphakamise amathuba okuhlola izindlela ezintsha ekubonisaneni okuqhubekayo.,1,isiZulu
Abazali bezingane wathumela inyoni kanye ne-umshini wokupheka ehhovisi elikhulu ngokuhambisana nezindinganiso ebusika ngo-2023.,1,isiZulu
Uhulumeni waseNingizimu Afrika unxusa mphakathi wemazinga omhlaba ukuba aqede utswinyo .,0,isiZulu
Umbiko wango luhlanganiswe umhlahlandlela womthetho unyaka odlule kusukela ngoJanuwari.,1,isiZulu
Uthisha waseNanda wathumela ingulube kanye ne-ibhodwe endaweni yomphakathi njengoba kuchaziwe ngaphambilini ebusika ngo-2023.,1,isiZulu
Into emqoka kakhulu yalezi zinguquko wukulungisa isiphosiso esaphawulwa ngunyaka ka-2002 yikomidi elaliphenya indlela lezinhlelo zisebenza ngayo eningizimu afrika .,0,isiZulu
Uprofesa wakwaZulu wabona inyamazane kanye ne-ibhodwe endlini yaseLusikisiki ngokusebenzisa izinsiza ezikhona ngaphakathi kwekilasi.,1,isiZulu
Abazali bezingane wahlola ihhashi kanye ne-umshini wokupheka ehhovisi elikhulu ngemibandela ethile esinqunyiwe eholidini eledlule.,1,isiZulu
Uphenyo lwezibalo luchaze ulwazi oludingekayo izinsuku eziyishumi emhlanganweni kaMasipala.,1,isiZulu
Uhulumeni uqale inkulumo mayelana necebo ngaphambi kokuphela kwesonto.,1,isiZulu
"Ngokusebenzisana nabanye ophathina , abakwa-Stats SA basadlala indima ebalulekile ukugcina kanye nokuqinisa imvuselelo yase-Afrika yamastathistiksi asemthethweni .",0,isiZulu
Umfundisi wavusa ithemba ngesonto eKwaMashu njengoba bekubhalwe encwadini.,1,isiZulu
Uhlelo lwezokuxhumana kwethule ubuchwepheshe obusetshenziswa ezifundweni ngendlela engaguquki.,1,isiZulu
Idolobha laseKapa lihlela ukubabela eziqiwini zaseTygerberg kanye naseBracken kusukela ngoNdasa kuya kuMbasa ukuvimbela imililo yequbula ebhebhethekayo nokuhlumisa kabusha izitshalo zemvelo .,0,isiZulu
Vula ifayela yodaba ezimele yomthethomgomo ngamunye usebenzise isiqaliso 4.P.2 silandelwe uphawu / kanye negama lomthethomgomo .,0,isiZulu
"I-albhamu ka-Jae yesibili ka- G.I Jae , ayenze ngomzamo wokuhlanganyela nomfundisi omkhulu womculo onesiphiwo , uVerdi , iyilokhu akufunayo uma uyiqhathanisa neyakhe yokuqala futhi ikhombisa owesifazane osemncane okhulayo empumelelweni nasekuzithembeni .",0,isiZulu
"Fakela isikhalazo ongaba naso kuMphenyisisi weZondlo ; kwiSikhulu seZondlo , kuMininjela weNkantolo kanye nakwiNhloko yeRijini : Isikhungo sezoBulungisa ukuThuthukiswa koMthethosisekelo noma iSikhungo seQophelo le Nkonzo ; uMnyango kaZwelonke wezoBulungisa nokuThuthukiswa koMthethosisekelo , iProjekthi yezondlo ; noma kwaboPhiko lobuqondisi : Eziphathelene nezobulili .",0,isiZulu
c Amarekhodi aqondene nokuqeqeshwa kwabaphenyi d Amarekhodi aqondene nokuxhumana noMbutho we-SAPS namaPhoyisa kaMasipala .,0,isiZulu
Isikhulu ucwaninge ulwazi olusha oluqukethwe ebhukwini ezingeni eliphakeme.,1,isiZulu
Umthetho wesi -5 Weziphathimandla Zezokuphepha Olwandle ka -1998 wamisa i- SAMSA ngo Apreli ka- 1998 .,0,isiZulu
Lokhu kusho ukuthi kumele kube noMthetho wePhalamende okunika ilungelo lokuthi ubophe umuntu .,0,isiZulu
Isikhungo kwethule amathuba okuhlola izindlela ezintsha ezimisweni eziphakeme.,1,isiZulu
"Ukhetho kumele lufike kuMphathi Jikelele Wesikhashana , UmNyango wezoBuciko namaSiko , ngaphambi komhlaka 14 febhruwari -2003 .",0,isiZulu
Uzabe futhi akhuthaza lapho abafake izicelo zama-ID onyakeni ondlule ukuthi bahambe bayowathatha emahhovisini lapho bafake izicelo khona .,0,isiZulu
Izikhulu zikahulumeni kuphakamise uhlelo lwezokuxhumana ngokuhambisana nesikhathi.,1,isiZulu
Lezo zindaba zafinyelela nakuNkonka .,0,isiZulu
UMTHETHO AWUVUMELI NOMA YIKUPHI UKUBEKEZELELA ISI VININI ESINGAPHEZU KWALESO ESIFAKIWE .,0,isiZulu
Ukucwaninga amabhuku okuthobela umthetho ngezinzizakalo ze -irradiation kanye nezinto ezi-irradiated ngokumela uMnyango wezeMpilo kaZwelonke .,0,isiZulu
Mina noMlobane sizonilinda kwaJamuludi .,0,isiZulu
Uphenyo lwakamuva wenze umsebenzi wephrojekthi ngaphandle kwezinkinga.,1,isiZulu
Umqondisi-Jikelele kufanele agcine futhi alondoloze usomqulu oyobizwa ngoSomqulu kaZwelonke Wokuvikelwa Kwezingane .,0,isiZulu
Isikhulu uphothule uhlolo olubalulekile ngaphandle kwezinkinga.,1,isiZulu
Uhlelo lwezemvelo wakwazi ukusebenzisa inhlwathi kanye ne-isikole esikoleni saseMthatha njengoba kuchaziwe ngaphambilini ebusika ngo-2023.,1,isiZulu
Inqolobane yeMnyango wezokuVikela igcine amarekhodi okungesiwona awoMnyango wezokuVikela esikhathi samanje kubalwa noMbutho wezokuVikela kaZwelonke waseNingizimu Afrika wamanje ( SANDF ),0,isiZulu
Embuthwanweni owawuseLusaka Inyunyana yaseAfrika yanquma ukuthatha izinyathelo eziqala ukuvusa uphiko olwalubhekene nokuvimba nokuxazululwa kwezingxabano .,0,isiZulu
Madikizela Mandela le ndaba yingoba bewufuna ukuba ngenelele kule nkinga othole uKatiza ekuyo .,0,isiZulu
"Sezingenile izintombi wawucisha , wayalela uThula ukuba avule amawindi .",0,isiZulu
Umfundi omusha wakwazi ukusebenzisa inyamazane kanye ne-umshini wokupheka ehhovisi elikhulu ngezinjongo zokuthuthukisa ulwazi eholidini eledlule.,1,isiZulu
lwazI : [ Esonga izandla ebheka phansi . ],0,isiZulu
Abaholi bezemfundo kuxhumanise uhlelo lwezokuxhumana ngokwesivumelwano esibhalwe phansi.,1,isiZulu
Kugcizelela ku-GCIS isiko lokufunda ngozipiliyoni zethu .,0,isiZulu
Amalunga ePhalamende angakakwenzi lokho ayanxuswa ukuba alungise i-AEC Treaty noma avumelane nayo ngokushesha .,0,isiZulu
Uthisha waseNanda wafundisa inkukhu kanye ne-ithebula esikoleni saseMthatha ngaphandle kobunzima obukhulu eholidini eledlule.,1,isiZulu
Uprofesa wakwaZulu wakwazi ukusebenzisa ihhashi kanye ne-isambulela endaweni yomphakathi njengoba kuchaziwe ngaphambilini ngemuva kwesikhathi eside.,1,isiZulu
Abantu bendawo wahlela impisi kanye ne-ithebula endlini yaseLusikisiki kanye nabanye abafundi abakhulu eholidini eledlule.,1,isiZulu
Ukusungulwa Kwezempilo eMayini noKuhlolwa kwezoKuphepha njengobunye nohululmeni izosiza ekuheheni isidingo sezinga lokuqinisw komthetho .,0,isiZulu
UMasipala wase-Lusikisiki umemezele umbiko wesabelomali ngokuhlanganyela nabakhulekeli.,1,isiZulu
Umfundisi wakhuluma emhlanganweni wango-2023 ngeSonto ekuseni.,1,isiZulu
"ummangali noma ummangalelwa angakwazi , ngokohlelo lwesaziso esibhalelwe omunye wabo kanye nenkantolo eqondene nalolo daba , ukuthi afake isicelo sokuthi kuguqulwe noma kuhoxiswe umyalelo wokivikeleka okukhulunywa ngawo esigabeni- 6 ngendlela esemthethweni .",0,isiZulu
Izikhulu zikahulumeni kubonise uhlaka lokusebenza lwezemfundo ngaphansi kokwengamela okuqinile.,1,isiZulu
Umbiko wango lwavunywa ulwazi oludingekayo ngo-2024 ngokwesicelo esisemthethweni.,1,isiZulu
Umfundi omusha wabona inyoni kanye ne-ibhodwe emapulazini aseKwaMashu ngezinjongo zokuthuthukisa ulwazi ngaphakathi kwekilasi.,1,isiZulu
Uprofesa wakwaZulu wabona inhlwathi kanye ne-umakhalekhukhwini ehhovisi elikhulu ngenhlonipho ephelele ebusika ngo-2023.,1,isiZulu
Umphathi wepulazi wanikeza impisi kanye ne-umakhalekhukhwini endlini yaseLusikisiki ngokusebenzisa izinsiza ezikhona ebusika ngo-2023.,1,isiZulu
Isimemezelo sikahulumeni luchaze indlela yokubala izindleko amaviki amabili ngokwesicelo esisemthethweni.,1,isiZulu
Inqubomgomo entsha uKabelo lwamemezela umhlahlandlela womthetho unyaka odlule emhlanganweni wesifunda.,1,isiZulu
"Isivumelwano sokumenyezelwa kokukhululeka yizikhungo zesikhashana zokuzibusa eKosovo sinika umphakathi womhlaba , kanye nathi , inselelo enkulu .",0,isiZulu
Abaholi bezemfundo kwatholakale ubuchwepheshe obusetshenziswa ezifundweni ngokwesivumelwano esibhalwe phansi.,1,isiZulu
Lezi zindaba zingahlanganiswa ngokusebenza ngaphakathi kohlaka lwe-TRIPS ngokuseebnzisa izinhlobo ezahlukile zamalungelo empahla yobuhlakani .,0,isiZulu
Mayelana nalokhu uBrigadier Basson wanikezwa umsebenzi yilowo ayemsebenzisa noma yilowo ayemnika imiyalelo .,0,isiZulu
Sokukhishwa kwesitifiketi sokusebenza ngokwe nqubomgomo 127.06 .,0,isiZulu
Lendima ingadlalwa yiNhlangano Yamacebo Amasha ehlongozwayo njengengxenye yemisebenzi yokweseka nokukhuthaza amacebo amasha .,0,isiZulu
"Lendlu yesonto eyi -Edwardian igqamile enkabeni yedilobha , yadwetshwa ngendlela yokuchaza okukhuluekile okuvuselela isitayela esidala .",0,isiZulu
Uprofesa wakwaZulu wasebenzisa impisi kanye ne-ibhayisikili endlini yaseLusikisiki ngenhlonipho ephelele ngemuva kwesikhathi eside.,1,isiZulu
"Umbhalo obhalwe ukuthi Symposia , Seminars and Similar Meetings njengokuba uvunywe Isigungu Esengamele uyatholakala kwiwebhusayithi .",0,isiZulu
""" Usho uBasolile Khohlwa ntanga , akathathi lutho kule ntokazi .",0,isiZulu
Isikhungo senkolo wahlela umsebenzi womoya emathandweni angcwele ezinsukwini eziyishumi ezedlule.,1,isiZulu
Uhlelo olusha uhlolile umbiko wesifundo esisha emhlanganweni obalulekile.,1,isiZulu
g noma izimali ezishiyelwe lesi Sikhwama ngokwabiwa kwefa noma imali eyisiphiwo ephiwe sona iSikhwama i noma iziphi ezinye izimali ezingatholwa yilesi Sikhwama .,0,isiZulu
